Track Name,Artist,Streams
Blinding Lights,The Weeknd,1659809269
Dance Monkey,Tones And I,1194341955
Roses - Imanbek Remix,SAINt JHN,1052730786
The Box,Roddy Ricch,1045663988
Don't Start Now,Dua Lipa,1025669419
ROCKSTAR (feat. Roddy Ricch),DaBaby,917851312
Watermelon Sugar,Harry Styles,852045823
death bed (coffee for your head),Powfu,796642410
Someone You Loved,Lewis Capaldi,789241152
Tusa,KAROL G,764476690
Falling,Trevor Daniel,762937668
Circles,Post Malone,694201081
ROXANNE,Arizona Zervas,691824339
Blueberry Faygo,Lil Mosey,686001002
Toosie Slide,Drake,644544565
Before You Go,Lewis Capaldi,641591928
Say So,Doja Cat,629281169
Memories,Maroon 5,628654326
Mood (feat. iann dior),24kGoldn,628532494
Intentions (feat. Quavo),Justin Bieber,620338494
Life Is Good (feat. Drake),Future,620335604
Savage Love (Laxed - Siren Beat),Jawsh 685,599767487
Adore You,Harry Styles,597258494
WAP (feat. Megan Thee Stallion),Cardi B,587491434
Señorita,Shawn Mendes,567876096
bad guy,Billie Eilish,561401601
everything i wanted,Billie Eilish,551127913
Breaking Me,Topic,550225471
Godzilla (feat. Juice WRLD),Eminem,532830183
Break My Heart,Dua Lipa,530920800
Hawái,Maluma,497560299
Dynamite,BTS,493943029
Sunday Best,Surfaces,493020980
HIGHEST IN THE ROOM,Travis Scott,475690853
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,475503093
Rain On Me (with Ariana Grande),Lady Gaga,470331976
ily (i love you baby) (feat. Emilee),Surf Mesa,466533359
Ride It,Regard,452584701
goosebumps,Travis Scott,448178520
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,438351354
Yummy,Justin Bieber,436100468
Lucid Dreams,Juice WRLD,434945798
lovely (with Khalid),Billie Eilish,430885964
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,429823782
Supalonely,BENEE,427392173
Stuck with U (with Justin Bieber),Ariana Grande,421031615
If the World Was Ending - feat. Julia Michaels,JP Saxe,410224265
Safaera,Bad Bunny,405534381
SICKO MODE,Travis Scott,402203203
DÁKITI,Bad Bunny,394630938
Head & Heart (feat. MNEK),Joel Corry,383934535
hot girl bummer,blackbear,383531386
THE SCOTTS,THE SCOTTS,380940478
In Your Eyes,The Weeknd,377945116
Shallow,Lady Gaga,375315368
La Jeepeta - Remix,Nio Garcia,368738816
I Don't Care (with Justin Bieber),Ed Sheeran,366523624
RITMO (Bad Boys For Life),Black Eyed Peas,356592373
Physical,Dua Lipa,353888146
Yo Perreo Sola,Bad Bunny,347083812
Lose Control,MEDUZA,346217772
Laugh Now Cry Later (feat. Lil Durk),Drake,345629015
you broke me first,Tate McRae,344045926
Robbery,Juice WRLD,342348713
Come & Go (with Marshmello),Juice WRLD,337744604
Rojo,J Balvin,336402896
WHATS POPPIN,Jack Harlow,335799810
Believer,Imagine Dragons,335204304
La Curiosidad,Jay Wheeler,328689657
when the party's over,Billie Eilish,324274680
7 rings,Ariana Grande,322431783
Falling,Harry Styles,318190021
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,314650683
How You Like That,BLACKPINK,312007841
positions,Ariana Grande,311587306
Heather,Conan Gray,308631143
Jocelyn Flores,XXXTENTACION,306349130
Party Girl,StaySolidRocky,303897277
Wishing Well,Juice WRLD,300360330
Beautiful People (feat. Khalid),Ed Sheeran,299237812
What You Know Bout Love,Pop Smoke,298141838
Kings & Queens,Ava Max,296308239
Caramelo,Ozuna,294460821
Say You Won't Let Go,James Arthur,294150974
MAMACITA,Black Eyed Peas,288568728
"10,000 Hours (with Justin Bieber)",Dan + Shay,287267463
Bohemian Rhapsody - Remastered 2011,Queen,286057864
"Ay, DiOs Mío!",KAROL G,284320594
SAD!,XXXTENTACION,283226082
Mood Swings (feat. Lil Tjay),Pop Smoke,281852041
rockstar (feat. 21 Savage),Post Malone,280542596
Perfect,Ed Sheeran,280528317
POPSTAR (feat. Drake),DJ Khaled,279966282
Shape of You,Ed Sheeran,278777615
Tattoo - Remix with Camilo,Rauw Alejandro,278249890
Boss Bitch,Doja Cat,274409282
Sigues Con El,Dímelo Flow,269771918
Holy (feat. Chance The Rapper),Justin Bieber,268425422
Be Kind (with Halsey),Marshmello,266246707
Go Crazy,Chris Brown,264043702
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,261983752
Morado,J Balvin,261619011
Without Me,Halsey,259303355
Dior,Pop Smoke,258386652
Relación,Sech,257767700
Happier,Marshmello,255660438
Ignorantes,Bad Bunny,253034613
Favorito,Camilo,252764197
Vete,Bad Bunny,249953056
Ballin' (with Roddy Ricch),Mustard,248548541
My Oh My (feat. DaBaby),Camila Cabello,247728923
Relación - Remix,Sech,246749109
Azul,J Balvin,243315246
GOOBA,6ix9ine,243046086
Hola - Remix,Dalex,235663681
All of Me,John Legend,235541569
Get You The Moon (feat. Snøw),Kina,234634869
La Difícil,Bad Bunny,231781751
Take You Dancing,Jason Derulo,231622512
You should be sad,Halsey,231460412
Play Date,Melanie Martinez,227858499
Midnight Sky,Miley Cyrus,226360839
High Fashion (feat. Mustard),Roddy Ricch,226108906
Lose You To Love Me,Selena Gomez,225258288
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,223253805
BOP,DaBaby,219255743
Bandit (with YoungBoy Never Broke Again),Juice WRLD,218483695
Ice Cream (with Selena Gomez),BLACKPINK,215105978
After Party,Don Toliver,213478112
TKN (feat. Travis Scott),ROSALÍA,213376784
Savage Remix (feat. Beyoncé),Megan Thee Stallion,213251990
All I Want for Christmas Is You,Mariah Carey,211406770
OUT WEST (feat. Young Thug),JACKBOYS,209142714
China,Anuel AA,209007984
Be Alright,Dean Lewis,205723300
Lonely (with benny blanco),Justin Bieber,205309179
Elegí (feat. Dímelo Flow),Rauw Alejandro,204524028
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,201966468
It's You,Ali Gatie,199474079
Si Veo a Tu Mamá,Bad Bunny,199237634
Hasta Que Dios Diga,Anuel AA,199228985
Bruises,Lewis Capaldi,199001913
Righteous,Juice WRLD,198789768
La Tóxica,Farruko,193069778
Djadja (feat. Maluma) - Remix,Aya Nakamura,191138214
Savage,Megan Thee Stallion,190528290
Tattoo,Rauw Alejandro,189842710
No Idea,Don Toliver,189441740
Put Your Records On,Ritt Momney,188695426
Lalala,Y2K,186114325
All Girls Are The Same,Juice WRLD,181543451
BICHOTA,KAROL G,181211329
Lose Somebody,Kygo,178947564
July,Noah Cyrus,178431121
Ransom,Lil Tecca,178239197
Last Christmas,Wham!,177812370
Fantasias,Rauw Alejandro,177294161
Moonlight,XXXTENTACION,175706465
34+35,Ariana Grande,175568665
LA CANCIÓN,J Balvin,175474473
Old Town Road - Remix,Lil Nas X,175096516
GREECE (feat. Drake),DJ Khaled,173079935
Suicidal,YNW Melly,172023592
The Less I Know The Better,Tame Impala,171939997
What A Man Gotta Do,Jonas Brothers,171914353
No Me Conoce - Remix,Jhay Cortez,170183783
Wonder,Shawn Mendes,169997917
After Hours,The Weeknd,168159002
Una Locura,Ozuna,167533620
Diosa,Myke Towers,167232619
Vida de Rico,Camilo,167073229
Se Te Nota (with Guaynaa),Lele Pons,165267540
Therefore I Am,Billie Eilish,165185579
Skechers,DripReport,164895935
Wow.,Post Malone,164735797
Jeans,Justin Quiles,164278734
Walk Em Down (feat. Roddy Ricch),NLE Choppa,164263881
Sweet but Psycho,Ava Max,162835864
Heartless,The Weeknd,162305546
Higher Love,Kygo,160553118
Amarillo,J Balvin,159685682
Parce (feat. Justin Quiles),Maluma,159239515
Smile (with The Weeknd),Juice WRLD,159074214
No Time To Die,Billie Eilish,159068575
Mi Cuarto,Jerry Di,158404677
Chicago Freestyle (feat. Giveon),Drake,157067849
my ex's best friend (with blackbear),Machine Gun Kelly,156690903
Levitating (feat. DaBaby),Dua Lipa,155898404
Despeinada,Ozuna,154637202
Know Your Worth,Khalid,150811295
Muévelo,Nicky Jam,149955246
PORFA,Feid,149366820
Youngblood,5 Seconds of Summer,148693359
Sucker,Jonas Brothers,146654272
CÓMO SE SIENTE - Remix,Jhay Cortez,146060794
Callaita,Bad Bunny,145016413
SUGAR,BROCKHAMPTON,144899140
La Santa,Bad Bunny,143136921
Something Just Like This,The Chainsmokers,142852305
La Nota,Manuel Turizo,141101736
Santa Tell Me,Ariana Grande,141074344
Goodbyes (Feat. Young Thug),Post Malone,140194823
cardigan,Taylor Swift,139920903
Money In The Grave (Drake ft. Rick Ross),Drake,139790203
Dreams - 2004 Remaster,Fleetwood Mac,137497968
Jangueo,Alex Rose,135776730
Never Seen the Rain,Tones And I,132378506
Rockin' Around The Christmas Tree,Brenda Lee,132228451
It's Beginning to Look a Lot like Christmas,Michael Bublé,131811803
Stupid Love,Lady Gaga,129827120
"thank u, next",Ariana Grande,129256769
Dancing With A Stranger (with Normani),Sam Smith,129240903
What If I Told You That I Love You,Ali Gatie,128458623
Jingle Bell Rock,Bobby Helms,127475378
Are You Bored Yet? (feat. Clairo),Wallows,126804188
Sweater Weather,The Neighbourhood,126740181
Got It On Me,Pop Smoke,126699730
Lovesick Girls,BLACKPINK,126686946
Better Now,Post Malone,126175491
Piece Of Your Heart,MEDUZA,126090756
Stunnin' (feat. Harm Franklin),Curtis Waters,125921899
I Like Me Better,Lauv,125615438
Lights Up,Harry Styles,124078901
Electric Love,BØRNS,124066773
How Do You Sleep?,Sam Smith,123338928
Secrets,Regard,122645844
Daisy,Ashnikko,122178396
Mamichula - con Nicki Nicole,Trueno,121426438
Mi Niña,Wisin,121143406
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,119370986
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,119297521
Me Gusta,Shakira,118679933
Whoopty,CJ,116691392
Be Like That - feat. Swae Lee & Khalid,Kane Brown,115760504
It's the Most Wonderful Time of the Year,Andy Williams,115166640
ocean eyes,Billie Eilish,114772790
P2,Lil Uzi Vert,113211830
LA NOCHE DE ANOCHE,Bad Bunny,112757630
Like That (feat. Gucci Mane),Doja Cat,112619024
Blanco,J Balvin,111354239
GO (feat. Juice WRLD),The Kid LAROI,110331211
Rare,Selena Gomez,109645288
Tak Tiki Tak,Harry Nach,109508977
Sofia,Clairo,109358967
my future,Billie Eilish,108391092
CITY OF ANGELS,24kGoldn,107979127
Mad at Disney,salem ilese,107359359
Moral of the Story,Ashe,105594686
Can We Kiss Forever?,Kina,105281235
Chica Ideal,Sebastian Yatra,105028942
Sour Candy (with BLACKPINK),Lady Gaga,104865459
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,104092101
Still Don't Know My Name,Labrinth,103997383
"Alone, Pt. II",Alan Walker,103902754
pov,Ariana Grande,103683912
Underneath the Tree,Kelly Clarkson,103603064
Keii,Anuel AA,103435785
exile (feat. Bon Iver),Taylor Swift,103312671
Diamonds,Sam Smith,100844823
Myron,Lil Uzi Vert,99202953
Ayy Macarena,Tyga,99137862
Eastside (with Halsey & Khalid),benny blanco,98841641
Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,98190690
BELIEVE IT,PARTYNEXTDOOR,97145552
Life Goes On,BTS,96521877
Prisoner (feat. Dua Lipa),Miley Cyrus,95856382
High Hopes,Panic! At The Disco,95559843
HOLIDAY,Lil Nas X,95052930
Hate The Other Side (with Marshmello & The Kid Laroi),Juice WRLD,93766159
Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,93457341
Conversations,Juice WRLD,93242466
Some Say - Felix Jaehn Remix,Nea,93068558
Maniac,Conan Gray,92369585
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,91977653
Salt,Ava Max,91482309
Reloj,Rauw Alejandro,90986037
SO DONE,The Kid LAROI,89256896
Woah,Lil Baby,89029088
Golden,Harry Styles,88776415
In Your Eyes (feat. Alida),Robin Schulz,88666621
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,87190881
Rover (feat. DTG),S1mba,86815454
Forever (feat. Post Malone & Clever),Justin Bieber,86738931
Train Wreck,James Arthur,86693099
Girls Like You (feat. Cardi B),Maroon 5,86593009
Hawái - Remix,Maluma,86217838
Whine Up,Nicky Jam,86084967
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,85689216
Let Me Down Slowly,Alec Benjamin,84959724
Mistletoe,Justin Bieber,84913518
Say So (feat. Nicki Minaj),Doja Cat,84802867
Martin & Gina,Polo G,84315514
Hate Me (with Juice WRLD),Ellie Goulding,84206036
PAM,Justin Quiles,82980578
No Guidance (feat. Drake),Chris Brown,82967807
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,82891305
Like It Is,Kygo,82439120
Deep End,Fousheé,82416624
Someone To You,BANNERS,81058343
Black Swan,BTS,81054892
Feliz Navidad,José Feliciano,80509419
El Efecto,Rauw Alejandro,80049862
To Die For,Sam Smith,80000703
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,79965800
We Paid (feat. 42 Dugg),Lil Baby,79082866
Good News,Mac Miller,79066757
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,78197456
Adicto (with Anuel AA & Ozuna),Tainy,77786343
Sleigh Ride,The Ronettes,77763955
El Mismo Aire - con Pablo Alborán,Camilo,77290747
If I Can't Have You,Shawn Mendes,76798673
The Business,Tiësto,76701466
Do They Know It's Christmas? - 1984 Version,Band Aid,76145845
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,75463196
the 1,Taylor Swift,75120501
Boy With Luv (feat. Halsey),BTS,74900494
Make You Mine,PUBLIC,74839305
Jerusalema (feat. Nomcebo Zikode),Master KG,74653376
Futsal Shuffle 2020,Lil Uzi Vert,74559575
Quiéreme Mientras Se Pueda,Manuel Turizo,74141646
Life's A Mess (feat. Halsey),Juice WRLD,74053798
This City,Sam Fischer,73755937
Tick Tock (feat. 24kGoldn),Clean Bandit,73389024
Holly Jolly Christmas,Michael Bublé,73227129
Paradise (feat. Dermot Kennedy),MEDUZA,72788398
Tyler Herro,Jack Harlow,72303057
Caramelo - Remix,Ozuna,71934239
Flex (feat. Juice WRLD),Polo G,71904416
TE MUDASTE,Bad Bunny,70697730
A Tu Merced,Bad Bunny,69728010
Suicidal (Remix) [feat. Juice WRLD],YNW Melly,69338127
Driving Home for Christmas - 2019 Remaster,Chris Rea,69126861
VIBEZ,DaBaby,68683012
You Got It,Vedo,68072355
Oh Juliana,Niack,67382400
Daddy Issues,The Neighbourhood,66917595
Aventura,Lunay,66760081
Mariposa,Peach Tree Rascals,66642974
SLOW DANCING IN THE DARK,Joji,66583539
Own It (feat. Ed Sheeran & Burna Boy),Stormzy,66214247
That Way - Bonus Track,Lil Uzi Vert,66211994
Selfish,Madison Beer,66114639
Trampoline (with ZAYN),SHAED,65359713
Level of Concern,Twenty One Pilots,65348619
Pretty Savage,BLACKPINK,64828156
Let Her Go,Passenger,64725181
Star Shopping,Lil Peep,64306690
21,Polo G,64054776
willow,Taylor Swift,63805662
Que Tire Pa Lante,Daddy Yankee,63608578
I’m Ready (with Demi Lovato),Sam Smith,62960452
Tú Me Dejaste De Querer,C. Tangana,62487319
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,61349830
WITHOUT YOU,The Kid LAROI,61154654
Runnin,21 Savage,60123293
Bellaquita - Remix,Dalex,60123148
Don Don,Daddy Yankee,60061228
3 Nights,Dominic Fike,59563964
Madrid (feat. Myke Towers),Maluma,59469384
Takeaway,The Chainsmokers,59111897
Reggaetonera,Anuel AA,58014315
Quizas,Rich Music LTD,55948346
Pero Ya No,Bad Bunny,55816677
Tutu,Camilo,55542611
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,55182857
Nobody's Love,Maroon 5,55146187
La Luz,Sech,55028987
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,54962506
Riptide,Vance Joy,54916668
Me Gusta (with Cardi B & Myke Towers),Anitta,54802153
bury a friend,Billie Eilish,54567731
Turks (feat. Travis Scott),NAV,54011053
Body,Megan Thee Stallion,53612293
Investe Em Mim,Jonas Esticado,53603561
PA' ROMPERLA,Bad Bunny,52586578
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,52515883
Desce Pro Play (PA PA PA),Mc Zaac,52421913
Truth Hurts,Lizzo,52101918
HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,51570776
Medusa,Jhay Cortez,51328932
ON,BTS,51268684
Snowman,Sia,50996422
the last great american dynasty,Taylor Swift,50961614
Wolves (feat. Post Malone),Big Sean,50954446
Mr. Right Now (feat. Drake),21 Savage,50881969
Indeciso,Reik,50816730
Deep End Freestyle,Sleepy Hallow,50711031
At My Worst,Pink Sweat$,50697029
The Christmas Song (Merry Christmas To You),Nat King Cole,50678528
Soltera - Remix,Lunay,50614913
TROLLZ (with Nicki Minaj),6ix9ine,50175690
I.F.L.Y.,Bazzi,49607125
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,49208475
Don't Stop Me Now - Remastered 2011,Queen,48699307
The Bigger Picture,Lil Baby,48655707
Hecha Pa' Mi,Boza,48472191
Infeliz,Arcangel,48444084
Tell Me U Luv Me (with Trippie Redd),Juice WRLD,48328534
Si Te Vas,Sech,48266378
august,Taylor Swift,48266347
Goosebumps,HVME,48207255
Alane,Robin Schulz,48165281
I CAN'T STOP ME,TWICE,48054480
Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,47829994
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,47222860
XO Tour Llif3,Lil Uzi Vert,46950126
God's Plan,Drake,46611833
Tap In,Saweetie,46506691
Bet You Wanna (feat. Cardi B),BLACKPINK,46207504
HACIENDO QUE ME AMAS,Bad Bunny,46160959
PTSD,G Herbo,45657385
my tears ricochet,Taylor Swift,45272459
Recairei - Ao Vivo,Os Barões Da Pisadinha,45063127
Yellow Hearts,Ant Saunders,44953584
Perreo en La Luna,Rich Music LTD,44917928
Merry Christmas Everyone,Shakin' Stevens,44832776
Daisies,Katy Perry,44613974
GOODMORNINGTOKYO!,TOKYO’S REVENGE,44421300
White Christmas,Bing Crosby,44280926
I'm Yours,Jason Mraz,44274059
Bande organisée,Kofs,44212594
What's Love Got to Do with It,Kygo,43717925
A Holly Jolly Christmas - Single Version,Burl Ives,43474319
Rags2Riches (feat. ATR Son Son),Rod Wave,43402897
me & ur ghost,blackbear,43298441
OK Not To Be OK,Marshmello,42936826
motive (with Doja Cat),Ariana Grande,42899760
FIND MY WAY,DaBaby,42520298
Astronomia,Vicetone,42438485
24 (feat. Lil Baby),Money Man,42388027
Good as Hell (feat. Ariana Grande),Lizzo,42160512
You Need To Calm Down,Taylor Swift,41921720
El Efecto - Remix,Rauw Alejandro,41796659
"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,41755665
Over Now (with The Weeknd),Calvin Harris,41521444
Eleven,Khalid,41500740
Fever,Dua Lipa,41468544
BYE ME FUI,Bad Bunny,41314090
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,41193538
Save Your Tears,The Weeknd,40863347
Closer,The Chainsmokers,40854888
Fairytale of New York (feat. Kirsty MacColl),The Pogues,40372879
Bichiyal,Bad Bunny,40099532
Mean It,Lauv,39752168
champagne problems,Taylor Swift,39525976
Polvo,Nicky Jam,39392823
No Judgement,Niall Horan,38648976
I Love Me,Demi Lovato,38619943
Feel Me,Selena Gomez,38596593
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,38552474
Fantasias - Remix,Rauw Alejandro,38522478
all the good girls go to hell,Billie Eilish,38172087
Sum 2 Prove,Lil Baby,38058092
"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,38004584
Psycho,Red Velvet,37843260
Bläulich,Apache 207,37818947
Que Calor (with J Balvin & El Alfa),Major Lazer,36998368
Girl,Myke Towers,36889213
"Yo x Ti, Tu x Mi",ROSALÍA,36691765
invisible string,Taylor Swift,36674639
BEBÉ,Camilo,36573257
QUE PRETENDES,J Balvin,36511429
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,36316390
Pain 1993 (with Playboi Carti),Drake,35521891
Baby Pluto,Lil Uzi Vert,35298116
Party Girl (Remix),StaySolidRocky,35108209
Money Trees,Kendrick Lamar,35007951
"no body, no crime (feat. HAIM)",Taylor Swift,34777341
Goodbyes (feat. Young Thug),Post Malone,34540826
YO VISTO ASÍ,Bad Bunny,34477505
mirrorball,Taylor Swift,34190266
Blood On My Jeans,Juice WRLD,33915674
Sigues Con El - Remix,Arcangel,33674106
Take Me To Church,Hozier,33538535
seven,Taylor Swift,33283059
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,33064593
Airwaves,Pashanim,33011440
Suge,DaBaby,32924112
Soliá,Bad Bunny,32787719
Con Altura,ROSALÍA,32697403
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,32693741
Turks (with Gunna & ft. Travis Scott),NAV,32120002
Con Calma,Daddy Yankee,31812403
Thunder,Imagine Dragons,31809946
Como Llora,Juanfran,31705691
Only Human,Jonas Brothers,31669590
Blue & Grey,BTS,31542229
Pa' Olvidarme De Ella,Piso 21,31429870
Forever After All,Luke Combs,31333153
this is me trying,Taylor Swift,31230172
Those Kinda Nights (feat. Ed Sheeran),Eminem,31032469
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,30992792
i love you,Billie Eilish,30939209
Santa Baby,Kylie Minogue,30885519
Santa Claus Is Coming To Town,The Jackson 5,30873176
MIDDLE CHILD,J. Cole,30797045
Otro Trago - Remix,Sech,30759728
FML,Arizona Zervas,30670247
BAD CON NICKY,Bad Bunny,30662441
25/8,Bad Bunny,30617336
Si Me Tomo Una Cerveza,Migrantes,30589404
Está Cabrón Ser Yo,Bad Bunny,30339254
illicit affairs,Taylor Swift,30311105
Definitivamente,Daddy Yankee,30290064
Only You Freestyle,Headie One,30139122
Blue Christmas,Elvis Presley,30105547
Boyfriend,Selena Gomez,30022736
"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,29799004
Lets Link,WhoHeem,29765969
Graveyard,Halsey,29696883
Tommy Lee (feat. Post Malone),Tyla Yaweh,29235093
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,29221189
Blastoff (feat. Juice Wrld & Trippie Redd),Internet Money,29057817
Lo Mein,Lil Uzi Vert,29048390
MORE & MORE,TWICE,28998160
betty,Taylor Swift,28962095
"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,28903529
Run Rudolph Run - Single Version,Chuck Berry,28871465
Hardest To Love,The Weeknd,28857504
ON (Feat. Sia),BTS,28748134
Photograph,Ed Sheeran,28729174
BUTTERFLY EFFECT,Travis Scott,28694212
Intentions,Justin Bieber,28509534
WANNABE,ITZY,28294074
Christmas (Baby Please Come Home),Darlene Love,28229386
Step Into Christmas,Elton John,28105055
feel something,Bea Miller,28084478
Liar,Camila Cabello,27984790
Spicy (feat. Post Malone),Ty Dolla $ign,27874770
BOOKER T,Bad Bunny,27863299
Surrender,Natalie Taylor,27823356
gold rush,Taylor Swift,27721056
Look At Her Now,Selena Gomez,27720478
Liberdade Provisória - Ao Vivo,Henrique & Juliano,27688087
‘tis the damn season,Taylor Swift,27342800
off the table (with The Weeknd),Ariana Grande,27305333
Fame,Apache 207,27296384
Enchule,Rauw Alejandro,27133217
Titanic,Juice WRLD,26834182
Heart Of Glass (Live from the iHeart Festival),Miley Cyrus,26716566
Forever Yours - Avicii Tribute,Kygo,26522830
223's (feat. 9lokknine),YNW Melly,26467529
Turn Me On (feat. Vula),Riton,26443313
Run,Joji,26405227
wish you were gay,Billie Eilish,26164992
Bad Energy,Juice WRLD,26161394
Jolie nana,Aya Nakamura,26113305
Gimme Love,Joji,25939319
7 Summers,Morgan Wallen,25872693
Reminds Me Of You,Juice WRLD,25850773
Liberdade Provisória,Henrique & Juliano,25838415
Fly To My Room,BTS,25708871
Talk (feat. Disclosure),Khalid,25591672
Solitaires (feat. Travis Scott),Future,25412152
Tequila Shots,Kid Cudi,25126911
just like magic,Ariana Grande,25055458
eight(Prod.&Feat. SUGA of BTS),IU,25022226
Stay High,Juice WRLD,25000085
Broke In A Minute,Tory Lanez,24868398
Crazy Over You,BLACKPINK,24678365
Show Out (with Skepta & Pop Smoke),Kid Cudi,24498722
